InvoiceDetailID,InvoiceID,TransactionType,VendorNumber,"VendorName",ProductCode,"PassengerName",TicketNumber,PublishedFare,SellingFare,ReferenceFare,LowFare,Tax1,GrossAmount,CommissionAmount,VatOnCommission,"FreeFieldA",TravelDate,ReturnDate,NumberOfDays,"CityCode",ProfileNumber,AddedBy
46,15,1,10,"AIR CANADA",7,"GERHOLD/DONNELL MR",WT19698,216.9,216.9,216.9,216.9,0,216.9,0,0,"G",04/15/2008 00:00:00,04/18/2008 00:00:00,0,"YVR",1002,2
47,15,1,1,"MARLIN TRAVEL",18,"HOPPE/MARLEE MR",WT19698,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1002,2
48,16,1,10,"AIR CANADA",7,"JERDE/RENE MR",WT19696,790.8,790.8,790.8,790.8,0,790.8,0,0,"G",04/15/2008 00:00:00,04/19/2008 00:00:00,0,"YVR",1005,2
49,16,1,11,"AIR NORTH",7,"YOST/DELIA MR",WT19696,166.67,166.67,166.67,166.67,0,166.67,0,0,"G",04/15/2008 00:00:00,04/19/2008 00:00:00,0,"YVR",1005,2
50,16,1,1000,"DELTA OTTAWA HOTEL",10,"RICE/MIREILLE MR",16152179,298,298,149,149,0,298,29.8,1.49,"",04/16/2008 00:00:00,04/18/2008 00:00:00,2,"YOW",1005,2
51,16,1,1000,"FAIRMONT VANCOUVER",10,"CRIST/LAMBERT MR",43231315,165,165,165,165,0,165,16.5,0.83,"",04/15/2008 00:00:00,04/16/2008 00:00:00,1,"YVR",1005,2
52,16,1,1000,"FAIRMONT VANCOUVER",10,"MACGYVER/DARRELL MR",43231322,165,165,165,165,0,165,16.5,0.83,"",04/18/2008 00:00:00,04/19/2008 00:00:00,1,"YVR",1005,2
53,16,1,2,"WHITEHORSE TRAVEL",18,"GUTMANN/MARJOLAINE MR",WT19696,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1005,2
54,17,1,11,"AIR NORTH",7,"COLE/FERN MR",WT19709,618,618,618,618,0,618,0,0,"G",04/03/2008 00:00:00,04/04/2008 00:00:00,0,"YOC",1005,2
55,17,1,1,"MARLIN TRAVEL",18,"DACH/MCKAYLA MR",WT19709,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1005,2
56,18,1,11,"AIR NORTH",7,"KAUTZER/ALEK MR",WT19697,161.67,161.67,161.67,161.67,0,161.67,0,0,"G",04/15/2008 00:00:00,04/18/2008 00:00:00,0,"YVR",1002,2
57,18,1,10,"AIR CANADA",7,"WUNSCH/KEYSHAWN MR",WT19697,216.9,216.9,216.9,216.9,0,216.9,0,0,"G",04/15/2008 00:00:00,04/18/2008 00:00:00,0,"YVR",1002,2
58,18,1,3,"YUKON TRAVEL",18,"CONN/KRISTOPHER MR",WT19697,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1002,2
76,26,1,10,"AIR CANADA",7,"GULGOWSKI/SIM MR",WT19718,700.8,700.8,700.8,700.8,0,700.8,0,0,"N",04/07/2008 00:00:00,04/10/2008 00:00:00,1,"YVR",1011,2
77,26,1,1,"MARLIN TRAVEL",18,"GUTKOWSKI/JESSICA MR",WT19718,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1011,2
89,31,1,11,"AIR NORTH",7,"GRAHAM/HOWELL MR",WT19726,423.34,423.34,423.34,423.34,0,423.34,0,0,"N",04/03/2008 00:00:00,04/06/2008 00:00:00,0,"YVR",1021,2
90,31,1,1,"MARLIN TRAVEL",18,"FEEST/ROSSIE MR",WT19726,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1021,2
102,37,1,11,"AIR NORTH",7,"MITCHELL/SELMER MR",WT19727,628,628,628,628,0,628,0,0,"G",04/02/2008 00:00:00,04/04/2008 00:00:00,0,"YEV",1006,2
103,37,1,2,"WHITEHORSE TRAVEL",18,"HYATT/CEDRICK MR",WT19727,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1006,2
104,38,1,10,"AIR CANADA",7,"LYNCH/JULES MR",WT19719,1362.8,1362.8,1362.8,1362.8,0,1362.8,0,0,"G",04/02/2008 00:00:00,04/03/2008 00:00:00,0,"YVR",1011,2
105,38,1,2,"WHITEHORSE TRAVEL",18,"DIETRICH/GEOFFREY MR",WT19719,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1011,2
118,44,1,10,"AIR CANADA",7,"ZULAUF/RAHEEM MR",WT19736,945.9,945.9,945.9,945.9,0,945.9,0,0,"G",04/01/2008 00:00:00,04/04/2008 00:00:00,1,"YOW",1007,2
119,44,1,701,"WESTJET AIRLINES",7,"PARISIAN/CARRIE MR",WT19736,519.95,519.95,519.95,519.95,0,519.95,42.93,2.15,"G",04/01/2008 00:00:00,04/04/2008 00:00:00,0,"YOW",1007,2
120,44,1,11,"AIR NORTH",7,"O'CONNER/CYRIL MR",WT19736,274,274,274,274,0,274,0,0,"G",04/01/2008 00:00:00,04/04/2008 00:00:00,0,"YOW",1007,2
121,44,1,1000,"CHATEAU LAURIE",10,"O'CONNELL/RAQUEL MR",43272717   43181135,330,330,165,165,0,330,33,1.65,"",04/01/2008 00:00:00,04/03/2008 00:00:00,2,"YOW",1007,2
122,44,1,1000,"FAIRMONT HOTEL MACD",10,"HAND/TERRILL MR",43273696,219,219,219,219,0,219,21.9,1.1,"",04/03/2008 00:00:00,04/04/2008 00:00:00,1,"YEA",1007,2
123,44,1,1,"MARLIN TRAVEL",18,"DONNELLY/THAD MR",WT19736,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1007,2
124,45,1,10,"AIR CANADA",7,"MOSCISKI/FELIPE MR",WT19732,533.9,533.9,533.9,533.9,0,533.9,0,0,"G",04/03/2008 00:00:00,04/04/2008 00:00:00,0,"YVR",1007,2
125,45,1,701,"WESTJET AIRLINES",7,"FISHER/NINA MR",WT19732,262.9,262.9,262.9,262.9,0,262.9,20.25,0,"G",04/03/2008 00:00:00,04/04/2008 00:00:00,0,"YVR",1007,2
126,45,1,11,"AIR NORTH",7,"WEBER/AVA MR",WT19732,284.67,284.67,284.67,284.67,0,284.67,0,0,"G",04/03/2008 00:00:00,04/04/2008 00:00:00,0,"YVR",1007,2
127,45,1,1000,"FAIRMONT VANCOUVER",10,"TROMP/LAVADA MR",43277788,205,205,205,205,0,205,20.5,1.03,"",04/03/2008 00:00:00,04/04/2008 00:00:00,1,"YVR",1007,2
128,45,1,1,"MARLIN TRAVEL",18,"POWLOWSKI/DARIANA MR",WT19732,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1007,2
145,50,1,11,"AIR NORTH",7,"BEIER/GERMAINE MR",WT19740,348.34,348.34,348.34,348.34,0,348.34,0,0,"G",04/26/2008 00:00:00,04/30/2008 00:00:00,0,"YVR",1002,2
146,50,1,1000,"FAIRMONT VANCOUVER",10,"MORAR/CHRISTOP MR",43290013,165,165,165,165,0,165,16.5,0.83,"",04/29/2008 00:00:00,04/30/2008 00:00:00,1,"YVR",1002,2
147,50,1,1,"MARLIN TRAVEL",18,"KRAJCIK/CAESAR MR",WT19740,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1002,2
158,54,1,11,"AIR NORTH",7,"ZULAUF/EMILE MR",WT19739,447.34,447.34,447.34,447.34,0,447.34,0,0,"N",04/06/2008 00:00:00,04/17/2008 00:00:00,0,"YVR",1023,2
159,54,1,3,"YUKON TRAVEL",18,"DICKINSON/ANDY MR",WT19739,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1023,2
160,55,1,10,"AIR CANADA",7,"BRUEN/MERLIN MR",WT19741,554.8,554.8,554.8,554.8,0,554.8,0,0,"N",04/10/2008 00:00:00,04/13/2008 00:00:00,0,"YVR",1021,2
161,55,1,1000,"PD STES ON BROADWAY",10,"CHRISTIANSEN/VERGIE MR",4VY55LF,125,125,125,125,0,125,12.5,0.63,"",04/10/2008 00:00:00,04/11/2008 00:00:00,1,"YVR",1021,2
162,55,1,2,"WHITEHORSE TRAVEL",18,"DICKI/LOMA MR",WT19741,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1021,2
163,56,1,11,"AIR NORTH",7,"BARTELL/BERRY MR",WT19749,506.34,506.34,506.34,506.34,0,506.34,0,0,"N",05/15/2008 00:00:00,05/17/2008 00:00:00,0,"YVR",1021,2
164,56,1,1000,"PLAZA 500",10,"LEBSACK/BETTIE MR",415734 AUDREY,258,258,129,129,0,258,25.8,1.29,"",05/15/2008 00:00:00,05/17/2008 00:00:00,2,"YVR",1021,2
165,56,1,2,"WHITEHORSE TRAVEL",18,"CRONA/YOLANDA MR",WT19749,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1021,2
166,57,1,10,"AIR CANADA",7,"BERGE/NATHAN MR",WT19750,1528.8,1528.8,1528.8,1528.8,0,1528.8,0,0,"G",04/09/2008 00:00:00,04/13/2008 00:00:00,0,"YOW",1002,2
167,57,1,1000,"DELTA OTTAWA HOTEL",10,"KONOPELSKI/SHEMAR MR",16178632,596,596,149,149,0,596,59.6,2.98,"",04/09/2008 00:00:00,04/13/2008 00:00:00,4,"YOW",1002,2
168,57,1,1,"MARLIN TRAVEL",18,"REMPEL/ORRIN MR",WT19750,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1002,2
169,58,1,11,"AIR NORTH",7,"KEMMER/LAYLA MR",WT19752,356,356,356,356,0,356,0,0,"",04/09/2008 00:00:00,04/11/2008 00:00:00,0,"YXY",1010,2
170,58,1,3,"YUKON TRAVEL",18,"MOEN/ALEXA MR",WT19752,40,40,40,40,0,40,0,0,"",NULL,NULL,0,"",1010,2
171,59,1,11,"AIR NORTH",7,"VONRUEDEN/MELISSA MR",WT19756,511.34,511.34,511.34,511.34,0,511.34,0,0,"G",04/08/2008 00:00:00,04/11/2008 00:00:00,0,"YVR",1005,2
172,59,1,10,"AIR CANADA",7,"REILLY/ADALBERTO MR",WT19756,804.8,804.8,804.8,804.8,0,804.8,0,0,"G",04/08/2008 00:00:00,04/11/2008 00:00:00,0,"YVR",1005,2
173,59,1,3,"YUKON TRAVEL",18,"MORAR/ORVILLE MR",WT19756,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1005,2
174,60,1,10,"AIR CANADA",7,"REICHERT/LUIGI MR",WT19753,1450.8,1450.8,1450.8,1450.8,0,1450.8,0,0,"N",04/07/2008 00:00:00,04/09/2008 00:00:00,0,"YXY",1013,2
175,60,1,2,"WHITEHORSE TRAVEL",18,"KEMMER/MAURINE MR",WT19753,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1013,2
178,62,1,10,"AIR CANADA",7,"CRONIN/BUFORD MR",WT19754,1678.8,1678.8,1678.8,1678.8,0,1678.8,0,0,"N",04/14/2008 00:00:00,04/16/2008 00:00:00,0,"YVR",1013,2
179,62,5,3,"YUKON TRAVEL",18,"WALTER/NOBLE MR",WT 19754,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1013,2
180,63,1,10,"AIR CANADA",7,"VOLKMAN-MUELLER/CAESAR MR",WT19755,1405.89,1405.89,1405.89,1405.89,0,1405.89,0,0,"N",04/17/2008 00:00:00,04/19/2008 00:00:00,0,"YXY",1013,2
181,63,1,1,"MARLIN TRAVEL",18,"FISHER/GREGG MR",WT19755,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1013,2
182,64,5,10,"AIR CANADA",7,"LABADIE/BERENICE MR",WT.19757,1110.8,1110.8,1110.8,1110.8,0,1110.8,0,0,"",04/10/2008 00:00:00,04/11/2008 00:00:00,0,"YVR",1010,2
183,64,1,3,"YUKON TRAVEL",18,"BARROWS/KAMRYN MR",WT19757,40,40,40,40,0,40,0,0,"",NULL,NULL,0,"",1010,2
184,65,5,11,"AIR NORTH",7,"WUNSCH/RYLEY MR",WT.19751,511.34,511.34,511.34,511.34,0,511.34,0,0,"G",04/07/2008 00:00:00,04/09/2008 00:00:00,0,"YVR",1007,2
185,65,1,10,"AIR CANADA",7,"DICKENS/VICKIE MR",WT19751,1908.8,1908.8,1908.8,1908.8,0,1908.8,0,0,"G",04/07/2008 00:00:00,04/09/2008 00:00:00,0,"YVR",1007,2
186,65,1,1000,"MARRIOTT OTTAWA CTR",10,"OSINSKI/AMIYA MR",84348413,350,350,175,175,0,350,35,1.75,"",04/07/2008 00:00:00,04/09/2008 00:00:00,2,"YOW",1007,2
187,65,1,1,"MARLIN TRAVEL",18,"KOEPP/LELIA MR",WT19751,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1007,2
191,67,1,11,"AIR NORTH",7,"MOHR/CLINTON MR",WT19758,636,636,636,636,0,636,0,0,"G",04/09/2008 00:00:00,04/11/2008 00:00:00,1,"YOC",1004,2
192,67,1,1,"MARLIN TRAVEL",18,"SPINKA/VICTOR MR",WT19758,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1004,2
193,68,1,10,"AIR CANADA",7,"HEGMANN/ALDEN MR",WT19766,608.8,608.8,608.8,608.8,0,608.8,0,0,"G",05/13/2008 00:00:00,05/15/2008 00:00:00,0,"YYC",1011,3
194,68,1,1,"MARLIN TRAVEL",18,"CARROLL/TIMMY MR",WT19766,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1011,3
210,74,1,10,"AIR CANADA",7,"RUNTE/ELIAS MR",WT19773,572.9,572.9,572.9,572.9,0,572.9,0,0,"N",04/03/2008 00:00:00,04/03/2008 00:00:00,0,"YXY",1021,3
211,74,1,1,"MARLIN TRAVEL",18,"CORMIER/COBY MR",WT19773,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1021,3
216,78,1,10,"AIR CANADA",7,"MEDHURST/ANTONINA MR",WT19760,956.8,956.8,956.8,956.8,0,956.8,0,0,"G",04/04/2008 00:00:00,04/11/2008 00:00:00,0,"LAX",1014,3
217,79,1,11,"AIR NORTH",7,"BORER/LAVONNE MR",WT19761,1908,1908,1908,1908,0,1908,0,0,"N",04/07/2008 00:00:00,04/09/2008 00:00:00,0,"YOC",1012,3
218,79,1,1,"MARLIN TRAVEL",18,"KULAS/FRANZ MR",WT19761,120,120,120,120,0,120,0,0,"N",NULL,NULL,0,"",1012,3
219,80,5,10,"AIR CANADA",7,"JOHNSON/REILLY MR",WT19762,342.8,342.8,342.8,342.8,0,342.8,0,0,"",04/08/2008 00:00:00,04/18/2008 00:00:00,1,"YVR",1014,2
220,80,1,11,"AIR NORTH",7,"STROMAN/JAEDEN MR",WT19762,511.34,511.34,511.34,511.34,0,511.34,0,0,"",NULL,NULL,1,"",1014,2
221,80,1,2,"WHITEHORSE TRAVEL",18,"NOLAN/BESSIE MR",WT19762,40,40,40,40,0,40,0,0,"",NULL,NULL,1,"",1014,2
222,80,5,10,"AIR CANADA",7,"CORKERY/VICENTE MR",WT19762,-342.8,-342.8,-342.8,-342.8,0,-342.8,0,0,"",04/08/2008 00:00:00,04/18/2008 00:00:00,1,"YVR",1014,2
223,80,1,10,"AIR CANADA",7,"GUTMANN/HAZEL MR",WT19762,342.8,342.8,342.8,342.8,0,342.8,0,0,"",04/08/2008 00:00:00,04/18/2008 00:00:00,1,"YVR",1014,2
224,81,1,11,"AIR NORTH",7,"SCHULTZ/NONA MR",WT19763,567.34,567.34,567.34,567.34,0,567.34,0,0,"G",04/07/2008 00:00:00,04/09/2008 00:00:00,0,"YYC",1005,2
225,81,1,3,"YUKON TRAVEL",18,"MANTE/SIMEON MR",WT19763,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1005,2
226,82,1,10,"AIR CANADA",7,"RENNER/TIANA MR",WT19777,1236.8,1236.8,1236.8,1236.8,0,1236.8,0,0,"G",04/08/2008 00:00:00,04/12/2008 00:00:00,0,"YVR",1023,2
227,82,1,1000,"EMPIRE LANDMARK HOT",10,"EBERT/KARELLE MR",WT19777,340,340,85,85,0,340,34,1.7,"",04/08/2008 00:00:00,04/12/2008 00:00:00,4,"YVR",1023,2
228,82,1,2,"WHITEHORSE TRAVEL",18,"CROOKS/KEVIN MR",WT19777,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1023,2
232,84,1,11,"AIR NORTH",7,"BAUCH/WILLIS MR",WT19783,636,636,636,636,0,636,0,0,"G",04/14/2008 00:00:00,04/21/2008 00:00:00,0,"YXY",1010,2
233,84,1,2,"WHITEHORSE TRAVEL",18,"YOST/ANGELITA MR",WT19783,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1010,2
239,87,1,11,"AIR NORTH",7,"ARMSTRONG/MERTIE MR",WT19776,516.34,516.34,516.34,516.34,0,516.34,0,0,"N",04/07/2008 00:00:00,04/09/2008 00:00:00,1,"YVR",1021,2
240,87,1,1000,"BEST WESTERN CHELSE",10,"WEBER/JERMAINE MR",WT19776,238,238,119,119,0,238,23.8,1.19,"",04/07/2008 00:00:00,04/09/2008 00:00:00,2,"YVR",1021,2
241,87,1,3,"YUKON TRAVEL",18,"HAYES/LENNY MR",WT19776,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1021,2
268,100,1,11,"AIR NORTH",7,"HAHN/HARRISON MR",WT19797,506.34,506.34,506.34,506.34,0,506.34,0,0,"G",04/10/2008 00:00:00,04/12/2008 00:00:00,1,"YVR",1023,2
269,100,1,10,"AIR CANADA",7,"ZULAUF/KENDRICK MR",WT19797,797.8,797.8,797.8,797.8,0,797.8,0,0,"G",04/10/2008 00:00:00,04/12/2008 00:00:00,0,"YVR",1023,2
270,100,1,1000,"HOLIDAY INN EXPRESS",10,"HAYES/MARIBEL MR",WT19797,198,198,99,99,0,198,19.8,0.99,"",04/10/2008 00:00:00,04/12/2008 00:00:00,2,"YQR",1023,2
271,100,1,2,"WHITEHORSE TRAVEL",18,"MCLAUGHLIN/RICHMOND MR",WT19797,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1023,2
272,101,1,11,"AIR NORTH",7,"WATERS/ELI MR",WT19799,516.34,516.34,516.34,516.34,0,516.34,0,0,"N",04/10/2008 00:00:00,04/12/2008 00:00:00,0,"YVR",1023,2
273,101,1,10,"AIR CANADA",7,"JASKOLSKI/EMERSON MR",WT19799,797.8,797.8,797.8,797.8,0,797.8,0,0,"N",04/10/2008 00:00:00,04/12/2008 00:00:00,0,"YVR",1023,2
274,101,1,1000,"HOLIDAY INN EXPRESS",10,"BOSCO/JEREMIE MR",WT19799,220,220,110,110,0,220,22,1.1,"",04/10/2008 00:00:00,04/12/2008 00:00:00,2,"YQR",1023,2
275,101,1,3,"YUKON TRAVEL",18,"WALTER/MIKEL MR",WT19799,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1023,2
276,102,1,11,"AIR NORTH",7,"YUNDT/ALEX MR",WT19798,260.67,260.67,260.67,260.67,0,260.67,0,0,"N",04/10/2008 00:00:00,04/10/2008 00:00:00,0,"YVR",1023,2
277,102,1,10,"AIR CANADA",7,"BECHTELAR/TREMAYNE MR",WT19798,398.9,398.9,398.9,398.9,0,398.9,0,0,"N",04/10/2008 00:00:00,04/10/2008 00:00:00,0,"YVR",1023,2
278,102,1,1,"MARLIN TRAVEL",18,"RATKE/TOMASA MR",WT19798,40,40,40,40,0,40,0,0,"N",NULL,NULL,0,"",1023,2
279,103,1,10,"AIR CANADA",7,"BOGISICH-SCHOEN/CALEB MR",WT19795,686.8,686.8,686.8,686.8,0,686.8,0,0,"G",04/13/2008 00:00:00,04/18/2008 00:00:00,0,"YVR",1005,2
280,103,1,3,"YUKON TRAVEL",18,"BARTON/ERNIE MR",WT19795,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1005,2
281,104,1,11,"AIR NORTH",7,"MILLS/JOSE MR",WT19778,356,356,356,356,0,356,0,0,"G",04/09/2008 00:00:00,04/11/2008 00:00:00,0,"YDA",1011,2
282,104,1,3,"YUKON TRAVEL",18,"NICOLAS/KURTIS MR",WT19778,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1011,2
283,105,1,10,"AIR CANADA",7,"VEUM/MARITZA MR",WT19773,1440.8,1440.8,1440.8,1440.8,0,1440.8,0,0,"",04/09/2008 00:00:00,04/21/2008 00:00:00,0,"YQR",1021,2
284,105,5,3,"YUKON TRAVEL",18,"TRANTOW/ALESSANDRA MR",WT19876,40,40,40,40,0,40,0,0,"",NULL,NULL,0,"",1021,2
285,106,5,11,"AIR NORTH",7,"KUHN/JUSTEN MR",WT19784,636,636,636,636,0,636,0,0,"G",05/02/2008 00:00:00,05/09/2008 00:00:00,1,"YXY",1010,2
286,106,5,3,"YUKON TRAVEL",18,"HINTZ/SABRYNA MR",WT197884,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1010,2
295,110,1,11,"AIR NORTH",7,"MANN/LAILA MR",WT19803,255.67,255.67,255.67,255.67,0,255.67,0,0,"G",04/08/2008 00:00:00,04/11/2008 00:00:00,0,"YVR",1003,2
296,110,1,10,"AIR CANADA",7,"CORMIER-WILLMS/FLORENCIO MR",WT19803,1142.8,1142.8,1142.8,1142.8,0,1142.8,0,0,"G",04/08/2008 00:00:00,04/11/2008 00:00:00,0,"YVR",1003,2
297,110,1,1,"MARLIN TRAVEL",18,"BARROWS/ROLLIN MR",WT19803,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1003,2
306,115,1,10,"AIR CANADA",7,"LUETTGEN/JOSEFINA MR",WT19804,981.8,981.8,981.8,981.8,0,981.8,0,0,"G",04/11/2008 00:00:00,04/19/2008 00:00:00,0,"YVR",1012,2
307,115,1,2,"WHITEHORSE TRAVEL",7,"NICOLAS/ALIZA MR",WT19804,40,40,40,40,0,40,0,0,"G",04/11/2008 00:00:00,04/19/2008 00:00:00,0,"YVR",1012,2
308,115,1,1000,"DELTA VANCOUVER AIR",10,"SCHILLER/LUIS MR",WT19804,1112,1112,139,139,0,1112,111.2,5.56,"",04/11/2008 00:00:00,04/19/2008 00:00:00,8,"YVR",1012,2
309,116,1,10,"AIR CANADA",7,"GERLACH-D'AMORE/SYLVAN MR",WT19815,1015,1015,1015,1015,0,1015,0,0,"G",04/05/2008 00:00:00,04/11/2008 00:00:00,1,"YVR",1014,2
310,116,1,712,"ALASKA AIRLINES",7,"LANGWORTH/HEATH MR",WT19815,558.93,558.93,558.93,558.93,0,558.93,0,0,"G",04/05/2008 00:00:00,04/11/2008 00:00:00,1,"YVR",1014,2
311,116,1,3,"YUKON TRAVEL",18,"WOLF/EUNICE MR",WT19815,40,40,40,40,0,40,0,0,"G",NULL,NULL,0,"",1014,2
322,121,1,10,"AIR CANADA",7,"HAND/DOMENIC MR",WT19808,1450,1450,1450,1450,0,1450,0,0,"G",04/12/2008 00:00:00,04/17/2008 00:00:00,0,"YYZ",1013,2
