InvoiceID,InvoiceNumber,ProfileNumber,"ProfileName","Department",BookingDate,SystemDate,"Description"
68,67,1011,"HIGHWAYS AND PUBLIC WORKS","W-4",04/02/2008 00:00:00,04/02/2008 16:42:29,"SWIFT/ROCKY MR"
74,73,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/02/2008 00:00:00,04/02/2008 16:51:48,"REYNOLDS/KAYLIN MR"
78,77,1014,"TOURISM & CULTURE","L-1MT",04/01/2008 00:00:00,04/02/2008 16:55:10,"BARROWS/MOSES MR"
79,78,1012,"JUSTICE","J-11",04/02/2008 00:00:00,04/02/2008 16:56:47,"WEIMANN/LENORE MR"
80,79,1014,"TOURISM & CULTURE","L-1",04/02/2008 00:00:00,04/03/2008 09:05:46,"BEDNAR/PAOLO MR"
81,80,1005,"ENERGY, MINES AND RESOURCES","K-11",04/02/2008 00:00:00,04/04/2008 07:50:19,"KOEPP/CAMILA MR"
82,81,1023,"FAMILY AND CHILD SERVICES","H-10",04/03/2008 00:00:00,04/04/2008 07:51:22,"STOLTENBERG/JESSE MR"
84,83,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/03/2008 00:00:00,04/04/2008 07:54:21,"SCHAEFER/SUSANNA MR"
87,86,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/03/2008 00:00:00,04/04/2008 07:59:54,"DICKINSON/HOLLIE MR"
100,99,1023,"FAMILY AND CHILD SERVICES","H-10",04/03/2008 00:00:00,04/04/2008 08:08:20,"BOSCO/DELLA MR"
101,100,1023,"FAMILY AND CHILD SERVICES","H-10",04/03/2008 00:00:00,04/04/2008 08:09:30,"WOLFF/RASHAD MR"
102,101,1023,"FAMILY AND CHILD SERVICES","H-10",04/03/2008 00:00:00,04/04/2008 08:10:04,"FISHER/HOSEA MR"
103,102,1005,"ENERGY, MINES AND RESOURCES","K-320",04/03/2008 00:00:00,04/04/2008 08:10:33,"FRANECKI/CHAD MR"
104,103,1011,"HIGHWAYS AND PUBLIC WORKS","W-12",04/03/2008 00:00:00,04/04/2008 08:10:58,"REILLY/ERA MR"
105,104,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/03/2008 00:00:00,04/04/2008 08:12:27,"LITTLE/WILLOW MR"
106,105,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/03/2008 00:00:00,04/04/2008 08:13:14,"HAHN/SUSIE MR"
110,109,1003,"ECONOMIC DEVELOPMENT","F-4",04/04/2008 00:00:00,04/04/2008 16:29:44,"BOEHM/CECIL MR"
115,114,1012,"JUSTICE","J-1",04/03/2008 00:00:00,04/04/2008 16:33:59,"EMMERICH/LEILA MR"
116,115,1014,"TOURISM & CULTURE","L-1MT",04/04/2008 00:00:00,04/04/2008 16:38:16,"MERTZ/SANDRA MR"
121,120,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/04/2008 00:00:00,04/04/2008 16:45:16,"STEUBER/MARIANO MR"
122,121,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/04/2008 00:00:00,04/04/2008 16:45:42,"HAGENES/OTIS MR"
123,122,1002,"COMMUNITY SERVICES","C-3",04/04/2008 00:00:00,04/04/2008 16:46:14,"MAYERT/EINAR MR"
124,123,1018,"YUKON HOUSING CORPORATION","Y-1",04/04/2008 00:00:00,04/04/2008 16:47:33,"EBERT/CARLO MR"
128,127,1012,"JUSTICE","J-3",03/27/2008 00:00:00,04/07/2008 16:58:28,"MCCLURE/GENERAL MR"
130,129,1004,"EDUCATION","E-1",04/07/2008 00:00:00,04/07/2008 17:00:13,"CONNELLY/JOVANNY MR"
135,135,1005,"ENERGY, MINES AND RESOURCES","K-419",04/07/2008 00:00:00,04/07/2008 17:12:14,"PREDOVIC/ELIZABETH MR"
137,137,1005,"ENERGY, MINES AND RESOURCES","K-419",04/07/2008 00:00:00,04/07/2008 17:13:23,"BECKER/LORINE MR"
141,142,1003,"ECONOMIC DEVELOPMENT","F-4",04/07/2008 00:00:00,04/15/2008 07:53:43,"GISLASON/HELLEN MR"
142,143,1003,"ECONOMIC DEVELOPMENT","F-4",04/07/2008 00:00:00,04/15/2008 07:53:44,"CROOKS/ALEJANDRIN MR"
143,144,1006,"ENVIRONMENT","V-5",04/07/2008 00:00:00,04/15/2008 07:53:44,"GUTKOWSKI/HARRY MR"
145,146,1005,"ENERGY, MINES AND RESOURCES","K-11",04/07/2008 00:00:00,04/15/2008 07:53:45,"MAGGIO/KATHRYN MR"
146,147,1005,"ENERGY, MINES AND RESOURCES","K-11",04/07/2008 00:00:00,04/15/2008 07:53:46,"RUNOLFSDOTTIR/ROBERTA MR"
150,151,1023,"FAMILY AND CHILD SERVICES","H-10",04/07/2008 00:00:00,04/15/2008 07:53:47,"GERLACH/VERNICE MR"
152,153,1010,"HEALTH AND SOCIAL SERVICES","H-10",04/07/2008 00:00:00,04/15/2008 07:53:49,"ABBOTT/PAXTON MR"
156,141,1021,"YWCHSB CLAIMANT TRVL","WCB",04/07/2008 00:00:00,04/15/2008 07:53:50,"RAYNOR/CAMERON MR"
157,156,1004,"EDUCATION","E-1",04/08/2008 00:00:00,04/15/2008 16:14:39,"VEUM/DAMEON MR"
158,157,1005,"ENERGY, MINES AND RESOURCES","K-10",04/08/2008 00:00:00,04/15/2008 16:14:40,"ERDMAN/DESTINEY MR"
159,158,1005,"ENERGY, MINES AND RESOURCES","K-10",04/08/2008 00:00:00,04/15/2008 16:14:40,"BALISTRERI/ADITYA MR"
160,159,1021,"YWCHSB CLAIMANT TRVL","WCB-CLMT",04/07/2008 00:00:00,04/15/2008 16:14:41,"HAMILL/MADGE MR"
165,164,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/08/2008 00:00:00,04/15/2008 16:14:43,"DOUGLAS/MONSERRATE MR"
166,165,1004,"EDUCATION","E-1",04/08/2008 00:00:00,04/15/2008 16:14:43,"BREITENBERG/WILBERT MR"
167,166,1012,"JUSTICE","J-11",04/08/2008 00:00:00,04/15/2008 16:14:44,"STROSIN/ASHTYN MR"
168,167,1005,"ENERGY, MINES AND RESOURCES","K-10",04/08/2008 00:00:00,04/15/2008 16:14:44,"MURPHY/SONIA MR"
169,168,1021,"YWCHSB CLAIMANT TRVL","WCB-CLMT",04/09/2008 00:00:00,04/15/2008 16:37:44,"MOHR/BROCK MR"
173,172,1021,"YWCHSB CLAIMANT TRVL","WCB-CLMT",04/09/2008 00:00:00,04/15/2008 16:37:45,"GOLDNER/JARVIS MR"
174,173,1004,"EDUCATION","E-1",04/09/2008 00:00:00,04/15/2008 16:37:46,"METZ/LINDSEY MR"
175,174,1012,"JUSTICE","J-1B",04/09/2008 00:00:00,04/15/2008 16:37:46,"CONN/MILO MR"
176,175,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/09/2008 00:00:00,04/15/2008 16:37:47,"LITTEL/SIDNEY MR"
177,176,1005,"ENERGY, MINES AND RESOURCES","K-918",04/09/2008 00:00:00,04/15/2008 16:37:47,"DOUGLAS/CRISTAL MR"
178,177,1005,"ENERGY, MINES AND RESOURCES","K-10",04/09/2008 00:00:00,04/15/2008 16:37:48,"REYNOLDS/WINSTON MR"
179,178,1005,"ENERGY, MINES AND RESOURCES","K-10",04/09/2008 00:00:00,04/15/2008 16:37:48,"EFFERTZ/SAMANTA MR"
180,179,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/09/2008 00:00:00,04/15/2008 16:37:48,"DOUGLAS/DAPHNE MR"
181,180,1002,"COMMUNITY SERVICES","C-10",04/09/2008 00:00:00,04/15/2008 16:37:49,"JASKOLSKI/VADA MR"
182,181,1004,"EDUCATION","E-1",04/09/2008 00:00:00,04/15/2008 16:37:49,"HOWE/JAMEY MR"
186,185,1011,"HIGHWAYS AND PUBLIC WORKS","W-12",04/10/2008 00:00:00,04/16/2008 15:48:06,"HERMANN/NIKITA MR"
187,186,1005,"ENERGY, MINES AND RESOURCES","K-325",04/10/2008 00:00:00,04/16/2008 15:48:07,"JAST/ROWENA MR"
188,187,1005,"ENERGY, MINES AND RESOURCES","K-325",04/10/2008 00:00:00,04/16/2008 15:48:07,"MORAR/CARLEE MR"
189,188,1007,"EXECUTIVE COUNCIL OFFICE","A-8",04/10/2008 00:00:00,04/16/2008 15:48:07,"MOORE/JOVANI MR"
191,190,1021,"YWCHSB CLAIMANT TRVL","WCB CLT",04/10/2008 00:00:00,04/16/2008 15:48:08,"HACKETT/AL MR"
192,191,1004,"EDUCATION","E-1",04/10/2008 00:00:00,04/16/2008 15:48:09,"MACEJKOVIC/ALFONZO MR"
193,192,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/10/2008 00:00:00,04/16/2008 15:48:09,"MURAZIK-WUCKERT/MIREYA MR"
194,193,1012,"JUSTICE","J-3E",04/09/2008 00:00:00,04/16/2008 15:48:10,"WEHNER/TAVARES MR"
195,194,1005,"ENERGY, MINES AND RESOURCES","K-325",04/10/2008 00:00:00,04/16/2008 15:48:10,"MCCULLOUGH/JEAN MR"
196,195,1012,"JUSTICE","J-1B",04/10/2008 00:00:00,04/16/2008 15:48:11,"VON/BLAKE MR"
198,197,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/10/2008 00:00:00,04/16/2008 15:50:23,"SCHMITT/RICKY MR"
209,208,1008,"FINANCE","B-1",04/11/2008 00:00:00,04/20/2008 08:49:26,"WEHNER/CATHRYN MR"
210,209,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/11/2008 00:00:00,04/20/2008 08:49:28,"DAVIS/ANDY MR"
211,210,1021,"YWCHSB CLAIMANT TRVL","WCB-CLMT",04/11/2008 00:00:00,04/20/2008 08:49:28,"WILLIAMSON/DEJON MR"
212,211,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/11/2008 00:00:00,04/20/2008 08:49:29,"WELCH/ANDREW MR"
213,212,1004,"EDUCATION","E-1",04/11/2008 00:00:00,04/20/2008 08:49:29,"REICHERT/MIGUEL MR"
214,213,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/11/2008 00:00:00,04/20/2008 08:49:30,"FRANECKI/HENRI MR"
215,214,1011,"HIGHWAYS AND PUBLIC WORKS","W-12",04/11/2008 00:00:00,04/20/2008 08:49:30,"MAGGIO/ARLO MR"
219,218,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/11/2008 00:00:00,04/20/2008 08:49:31,"BALISTRERI/ALFORD MR"
220,219,1006,"ENVIRONMENT","V-5",04/11/2008 00:00:00,04/20/2008 08:49:32,"CREMIN/MORIAH MR"
221,220,1014,"TOURISM & CULTURE","L-1MT",04/11/2008 00:00:00,04/20/2008 08:49:32,"STOLTENBERG/ANABELLE MR"
222,221,1024,"COMMUNITY NURSING","2HOSP",04/11/2008 00:00:00,04/20/2008 08:49:33,"DOOLEY/LENNIE MR"
223,222,1002,"COMMUNITY SERVICES","C-8",04/11/2008 00:00:00,04/20/2008 08:49:33,"RUNTE/MADELYN MR"
226,225,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/11/2008 00:00:00,04/20/2008 08:49:34,"TORP/ELLIOT MR"
227,226,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/11/2008 00:00:00,04/20/2008 08:49:35,"STAMM/ABAGAIL MR"
228,227,1012,"JUSTICE","J-3E",04/11/2008 00:00:00,04/20/2008 08:49:35,"KESSLER/RODOLFO MR"
229,228,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/11/2008 00:00:00,04/20/2008 08:49:36,"NITZSCHE/JOSH MR"
230,229,1021,"YWCHSB CLAIMANT TRVL","WCB",04/11/2008 00:00:00,04/20/2008 08:49:36,"HALVORSON/HERMINIO MR"
231,230,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/11/2008 00:00:00,04/20/2008 08:49:37,"MCKENZIE/VEDA MR"
232,231,1004,"EDUCATION","E-1",04/11/2008 00:00:00,04/20/2008 08:49:37,"MCCLURE/KATHLYN MR"
238,237,1002,"COMMUNITY SERVICES","C-19",04/14/2008 00:00:00,04/20/2008 08:49:40,"GOODWIN/BAYLEE MR"
239,238,1004,"EDUCATION","E-1",04/14/2008 00:00:00,04/20/2008 08:49:40,"KOVACEK/BERRY MR"
240,239,1011,"HIGHWAYS AND PUBLIC WORKS","W-17",04/14/2008 00:00:00,04/20/2008 08:49:40,"CRUICKSHANK/WELLINGTON MR"
241,240,1004,"EDUCATION","E-1",04/14/2008 00:00:00,04/20/2008 08:49:41,"KING/JAZMYN MR"
242,241,1012,"JUSTICE","J-1B",04/14/2008 00:00:00,04/20/2008 08:49:41,"BEDNAR/MADIE MR"
243,242,1011,"HIGHWAYS AND PUBLIC WORKS","W-4",04/14/2008 00:00:00,04/20/2008 08:49:41,"HIRTHE/THEO MR"
245,244,1004,"EDUCATION","E-1",04/14/2008 00:00:00,04/20/2008 08:49:42,"ROWE/CAROLYNE MR"
246,245,1010,"HEALTH AND SOCIAL SERVICES","H-9A",04/14/2008 00:00:00,04/20/2008 08:49:43,"STOLTENBERG/JAYCE MR"
247,246,1010,"HEALTH AND SOCIAL SERVICES","H-9A",04/14/2008 00:00:00,04/20/2008 08:49:43,"KOCH/QUINTEN MR"
248,247,1002,"COMMUNITY SERVICES","C-23",04/14/2008 00:00:00,04/20/2008 08:49:43,"WARD/ULISES MR"
251,250,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/14/2008 00:00:00,04/20/2008 08:49:44,"CHRISTIANSEN/CHRISTINE MR"
252,251,1004,"EDUCATION","E-1",04/14/2008 00:00:00,04/20/2008 08:49:44,"RAU/MONSERRAT MR"
253,252,1002,"COMMUNITY SERVICES","C-23",04/14/2008 00:00:00,04/20/2008 08:49:45,"RUNOLFSSON/JETT MR"
254,253,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/14/2008 00:00:00,04/20/2008 08:49:45,"BREKKE/JULIANNE MR"
258,257,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/14/2008 00:00:00,04/20/2008 08:49:46,"LIND/DEJON MR"
259,258,1002,"COMMUNITY SERVICES","C-19",04/14/2008 00:00:00,04/20/2008 08:49:47,"JERDE/BOYD MR"
262,261,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/20/2008 00:00:00,04/20/2008 09:02:16,"WILLIAMSON/ELISHA MR"
263,263,1012,"JUSTICE","J-1B",04/15/2008 00:00:00,04/20/2008 10:27:59,"WILLIAMSON/JOAQUIN MR"
264,264,1025,"LEGISLATIVE ASSEMBLY","A-9",04/15/2008 00:00:00,04/20/2008 10:28:00,"BOGISICH/AVIS MR"
270,270,1011,"HIGHWAYS AND PUBLIC WORKS","W-10",04/15/2008 00:00:00,04/20/2008 10:28:02,"LEBSACK/AL MR"
271,271,1005,"ENERGY, MINES AND RESOURCES","K-419",04/15/2008 00:00:00,04/20/2008 10:28:02,"FEEST/KEVIN MR"
272,272,1005,"ENERGY, MINES AND RESOURCES","K-419",04/15/2008 00:00:00,04/20/2008 10:28:03,"SCHUSTER/GUSTAVE MR"
273,273,1011,"HIGHWAYS AND PUBLIC WORKS","W-2",04/15/2008 00:00:00,04/20/2008 10:28:03,"KOHLER/ISABELL MR"
274,274,1005,"ENERGY, MINES AND RESOURCES","K-11",04/15/2008 00:00:00,04/20/2008 10:28:03,"FADEL/NORWOOD MR"
275,275,1004,"EDUCATION","E-1",04/15/2008 00:00:00,04/20/2008 10:28:04,"ABERNATHY/ALEXANDRINE MR"
276,276,1005,"ENERGY, MINES AND RESOURCES","K-419",04/15/2008 00:00:00,04/20/2008 10:28:04,"GORCZANY/MARVIN MR"
277,277,1005,"ENERGY, MINES AND RESOURCES","K-419",04/15/2008 00:00:00,04/20/2008 10:28:04,"GRANT/PALMA MR"
285,285,1005,"ENERGY, MINES AND RESOURCES","K-315",04/15/2008 00:00:00,04/20/2008 10:28:07,"STREICH-BARTELL/ALAN MR"
286,286,1012,"JUSTICE","J-3E",04/15/2008 00:00:00,04/20/2008 10:28:08,"JOHNSTON/REGINALD MR"
288,288,1024,"COMMUNITY NURSING","2HOSP",04/15/2008 00:00:00,04/20/2008 10:28:08,"MARQUARDT/ASHLEE MR"
289,289,1005,"ENERGY, MINES AND RESOURCES","K-419",04/15/2008 00:00:00,04/20/2008 10:28:09,"HALEY/CARROLL MR"
290,290,1003,"ECONOMIC DEVELOPMENT","F-1",04/16/2008 00:00:00,04/20/2008 10:28:09,"HAMILL/JADYN MR"
294,294,1023,"FAMILY AND CHILD SERVICES","H-10",04/16/2008 00:00:00,04/20/2008 10:28:11,"MERTZ/KIM MR"
298,298,1007,"EXECUTIVE COUNCIL OFFICE","A-8",04/16/2008 00:00:00,04/20/2008 10:28:12,"BARTELL/BRETT MR"
299,299,1007,"EXECUTIVE COUNCIL OFFICE","A-8",04/16/2008 00:00:00,04/20/2008 10:28:13,"BARTOLETTI-STIEDEMANN/LILIAN MR"
303,303,1014,"TOURISM & CULTURE","L-1MT",04/15/2008 00:00:00,04/20/2008 10:28:14,"CHAMPLIN/MARCEL MR"
307,262,1010,"HEALTH AND SOCIAL SERVICES","H-109",04/16/2008 00:00:00,04/20/2008 10:28:15,"MARKS/KRISTA MR"
308,307,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/16/2008 00:00:00,04/20/2008 10:28:16,"EMARD/KIRK MR"
309,308,1024,"COMMUNITY NURSING","2HOSP",04/16/2008 00:00:00,04/20/2008 10:28:16,"ROHAN/JODIE MR"
310,309,1010,"HEALTH AND SOCIAL SERVICES","H-109",04/16/2008 00:00:00,04/20/2008 10:28:16,"NADER-BREKKE/DARBY MR"
311,310,1014,"TOURISM & CULTURE","L-1",03/03/2009 00:00:00,04/20/2008 10:28:17,"WEBER-FRAMI/IRVING MR"
312,311,1003,"ECONOMIC DEVELOPMENT","F-1",04/16/2008 00:00:00,04/20/2008 10:28:18,"GOODWIN/MUSTAFA MR"
313,312,1004,"EDUCATION","E-1",04/16/2008 00:00:00,04/20/2008 10:28:18,"GULGOWSKI/LOYAL MR"
314,313,1002,"COMMUNITY SERVICES","C-19",04/16/2008 00:00:00,04/20/2008 10:28:18,"KLEIN/VERDA MR"
315,314,1014,"TOURISM & CULTURE","L-1",04/16/2008 00:00:00,04/20/2008 10:28:19,"JERDE/LENNA MR"
316,315,1011,"HIGHWAYS AND PUBLIC WORKS","W-3C",04/16/2008 00:00:00,04/20/2008 10:28:20,"SCHAMBERGER/ARVEL MR"
317,316,1011,"HIGHWAYS AND PUBLIC WORKS","W-3I",04/16/2008 00:00:00,04/20/2008 10:28:20,"DONNELLY/HARVEY MR"
318,317,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/16/2008 00:00:00,04/20/2008 10:28:21,"VANDERVORT/ABE MR"
319,318,1008,"FINANCE","B-1",04/16/2008 00:00:00,04/20/2008 10:28:21,"EFFERTZ/ROSALIND MR"
320,319,1003,"ECONOMIC DEVELOPMENT","F-1",04/16/2008 00:00:00,04/20/2008 10:28:22,"WELCH/JUSTICE MR"
321,320,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/16/2008 00:00:00,04/20/2008 10:28:22,"STEHR-KUNZE/MONSERRAT MR"
322,321,1024,"COMMUNITY NURSING","2HOSP",04/16/2008 00:00:00,04/20/2008 10:28:22,"MANTE/ALVIS MR"
323,322,1024,"COMMUNITY NURSING","2HOSP",04/20/2008 00:00:00,04/20/2008 10:28:23,""
330,329,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/17/2008 00:00:00,04/20/2008 11:26:39,"THOMPSON/HILMA MR"
331,330,1005,"ENERGY, MINES AND RESOURCES","K-419",04/17/2008 00:00:00,04/20/2008 11:26:40,"SMITHAM/ISOBEL MR"
332,331,1005,"ENERGY, MINES AND RESOURCES","K-419",04/17/2008 00:00:00,04/20/2008 11:26:40,"LIND/AMBER MR"
333,332,1005,"ENERGY, MINES AND RESOURCES","K-419",04/17/2008 00:00:00,04/20/2008 11:26:40,"KERTZMANN/ZELDA MR"
334,333,1006,"ENVIRONMENT","V-1",04/17/2008 00:00:00,04/20/2008 11:26:41,"MONAHAN/ADELLA MR"
335,334,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/17/2008 00:00:00,04/20/2008 11:26:41,"HOWE/STEVIE MR"
336,335,1012,"JUSTICE","J-1B",04/17/2008 00:00:00,04/20/2008 11:26:42,"BOTSFORD/ARNOLDO MR"
337,336,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/17/2008 00:00:00,04/20/2008 11:26:42,"HUELS/ATHENA MR"
338,337,1010,"HEALTH AND SOCIAL SERVICES","H-10",04/17/2008 00:00:00,04/20/2008 11:26:43,"DICKENS/JANA MR"
339,338,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/17/2008 00:00:00,04/20/2008 11:26:43,"HAUCK/HERMINA MR"
350,349,1011,"HIGHWAYS AND PUBLIC WORKS","W-13",04/17/2008 00:00:00,04/20/2008 11:26:47,"BATZ/JOSHUA MR"
351,350,1011,"HIGHWAYS AND PUBLIC WORKS","W-13",04/17/2008 00:00:00,04/20/2008 11:26:48,"RUSSEL-OLSON/CASEY MR"
352,351,1011,"HIGHWAYS AND PUBLIC WORKS","W-13",04/17/2008 00:00:00,04/20/2008 11:26:48,"DICKENS/UNIQUE MR"
354,353,1013,"PUBLIC SERVICE COMMISSION","Z-1",04/17/2008 00:00:00,04/20/2008 11:26:48,"HUEL/CLEO MR"
355,354,1006,"ENVIRONMENT","V-8",04/17/2008 00:00:00,04/20/2008 11:26:49,"CHAMPLIN/HELOISE MR"
356,355,1021,"YWCHSB CLAIMANT TRVL","WCB-CLMT",04/17/2008 00:00:00,04/20/2008 11:26:49,"MITCHELL/EMANUEL MR"
359,358,1010,"HEALTH AND SOCIAL SERVICES","H-1",04/17/2008 00:00:00,04/20/2008 11:26:50,"BODE-SCHOWALTER/DANIKA MR"
361,360,1004,"EDUCATION","E-1",04/17/2008 00:00:00,04/20/2008 11:26:51,"PADBERG/KODY MR"
362,361,1005,"ENERGY, MINES AND RESOURCES","K-918",04/17/2008 00:00:00,04/20/2008 11:26:52,"TREUTEL/RANDAL MR"
366,365,1003,"ECONOMIC DEVELOPMENT","F-1",04/18/2008 00:00:00,04/20/2008 11:26:53,"CASSIN/EDISON MR"
367,366,1011,"HIGHWAYS AND PUBLIC WORKS","W-8",04/18/2008 00:00:00,04/20/2008 11:26:54,"SCHIMMEL/LEONEL MR"
374,373,1005,"ENERGY, MINES AND RESOURCES","K-325",04/18/2008 00:00:00,04/20/2008 11:26:56,"MCDERMOTT/DEJUAN MR"
375,374,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/18/2008 00:00:00,04/20/2008 11:26:56,"KRAJCIK/ALFREDO MR"
376,375,1021,"YWCHSB CLAIMANT TRVL","WCB CLMT",04/18/2008 00:00:00,04/20/2008 11:26:57,"GOYETTE/BARTHOLOME MR"
377,376,1004,"EDUCATION","E-1",04/18/2008 00:00:00,04/20/2008 11:26:57,"HAUCK-JOHNS/DEJA MR"
378,377,1023,"FAMILY AND CHILD SERVICES","H-10",04/18/2008 00:00:00,04/20/2008 11:26:57,"MARKS/RAINA MR"
379,378,1012,"JUSTICE","J-10A",04/18/2008 00:00:00,04/20/2008 11:26:58,"ROBEL/TATE MR"
380,379,1011,"HIGHWAYS AND PUBLIC WORKS","W-12ST",04/18/2008 00:00:00,04/20/2008 11:26:58,"LOWE/LOY MR"
